"symptomes","maladie"
"maux de ventre, fièvre légère, vomissements","Gastro-entérite"
"maux d’estomac, diarrhée, vomissements","Gastro-entérite"
"fièvre, ganglions enflés, douleur à la déglutition, difficulté à avaler, gorge très douloureuse","Angine"
"toux sèche, difficultés respiratoires, perte du goût","Covid-19"
"difficulté à avaler, douleur à la déglutition, amygdales gonflées, fièvre élevée","Angine"
"maux de tête, fatigue, transpiration abondante","Paludisme"
"nausées, douleurs abdominales, transpiration abondante, nausée, maux de tête","Paludisme"
"maux de tête, nez bouché, fatigue légère, nez qui coule, maux de gorge","Rhume"
"fièvre, fièvre modérée, perte du goût, douleurs musculaires","Covid-19"
"douleurs musculaires, maux de tête, fièvre modérée, fatigue","Covid-19"
"éternuements, fatigue légère, maux de gorge, maux de tête","Rhume"
"fatigue, fièvre légère, perte d’appétit","Gastro-entérite"
"douleurs abdominales, nausées, nausée","Paludisme"
"gorge irritée, maux de tête, nez qui coule, toux légère, éternuements","Rhume"
"nez bouché, nez qui coule, toux légère","Rhume"
"fatigue, fièvre légère, nausée, maux d’estomac, diarrhée","Gastro-entérite"
"transpiration abondante, frissons, maux de tête","Paludisme"
"ganglions enflés, fièvre élevée, gorge très douloureuse, amygdales gonflées","Angine"
"toux sèche, fatigue, fièvre, courbatures","Grippe"
"fièvre élevée, transpiration abondante, douleurs abdominales, frissons, maux de tête","Paludisme"
"perte du goût, perte d’odorat, difficultés respiratoires, fièvre","Covid-19"
"nez bouché, fatigue, nez qui coule, toux, frissons","Grippe"
"frissons, transpiration abondante, nausées, nausée","Paludisme"
"gorge rouge, douleur à la déglutition, amygdales gonflées, fièvre élevée, ganglions enflés","Angine"
"crampes abdominales, diarrhée, fatigue, fièvre légère","Gastro-entérite"
"maux de gorge, nez bouché, nez qui coule","Rhume"
"fatigue, perte d’odorat, fièvre, perte du goût","Covid-19"
"fièvre légère, crampes abdominales, fatigue","Gastro-entérite"
"diarrhée, crampes abdominales, maux de ventre","Gastro-entérite"
"frissons, maux de tête, fatigue, transpiration abondante, fièvre élevée","Paludisme"
"nausée, vomissements, diarrhée, perte d’appétit, maux de ventre","Gastro-entérite"
"douleurs musculaires, nausée, transpiration abondante, douleurs abdominales","Paludisme"
"nez qui coule, fatigue légère, maux de gorge, toux légère","Rhume"
"fatigue, douleurs musculaires, difficultés respiratoires, toux sèche, perte du goût","Covid-19"
"nausées, douleurs abdominales, fièvre élevée, transpiration abondante","Paludisme"
"transpiration abondante, nausée, frissons","Paludisme"
"nez bouché, fatigue légère, gorge irritée, toux légère, maux de gorge","Rhume"
"perte d’odorat, douleurs musculaires, toux sèche","Covid-19"
"maux de tête, douleurs abdominales, nausée, frissons, fièvre élevée","Paludisme"
"fièvre, nez qui coule, frissons, maux de gorge","Grippe"
"douleur à la déglutition, fièvre élevée, difficulté à avaler","Angine"
"courbatures, nez bouché, frissons, fièvre","Grippe"
"toux sèche, difficultés respiratoires, perte du goût, fièvre, fièvre modérée","Covid-19"
"toux sèche, douleurs musculaires, fièvre","Covid-19"
"perte d’odorat, fatigue, toux sèche, difficultés respiratoires, douleurs musculaires","Covid-19"
"nez qui coule, gorge irritée, nez bouché","Rhume"
"fatigue, nausée, douleurs abdominales, nausées, transpiration abondante","Paludisme"
"toux légère, fatigue légère, éternuements, nez bouché, nez qui coule","Rhume"
"maux d’estomac, perte d’appétit, crampes abdominales, diarrhée, nausée","Gastro-entérite"
"douleur à la déglutition, ganglions enflés, fièvre, gorge rouge","Angine"
"crampes abdominales, diarrhée, perte d’appétit","Gastro-entérite"
"douleurs abdominales, maux de tête, transpiration abondante","Paludisme"
"nez qui coule, fatigue légère, maux de tête, éternuements","Rhume"
"gorge rouge, ganglions enflés, fièvre élevée","Angine"
"nez qui coule, fatigue légère, nez bouché, maux de gorge, toux légère","Rhume"
"difficulté à avaler, ganglions enflés, fièvre élevée","Angine"
"fièvre, douleurs musculaires, maux de tête, fatigue, perte du goût","Covid-19"
"frissons, douleurs musculaires, douleurs abdominales, fatigue, fièvre élevée","Paludisme"
"toux légère, maux de gorge, nez bouché","Rhume"
"maux d’estomac, crampes abdominales, fatigue","Gastro-entérite"
"fièvre, gorge très douloureuse, gorge rouge, ganglions enflés","Angine"
"fièvre, gorge rouge, douleur à la déglutition, difficulté à avaler","Angine"
"amygdales gonflées, ganglions enflés, fièvre, difficulté à avaler","Angine"
"perte d’appétit, fatigue, maux d’estomac","Gastro-entérite"
"douleur à la déglutition, amygdales gonflées, fièvre élevée, gorge rouge","Angine"
"transpiration abondante, fatigue, frissons, nausée","Paludisme"
"maux de tête, toux légère, maux de gorge","Rhume"
"toux légère, maux de tête, maux de gorge, gorge irritée","Rhume"
"douleurs abdominales, fatigue, fièvre élevée, transpiration abondante, douleurs musculaires","Paludisme"
"frissons, nausée, douleurs abdominales","Paludisme"
"fièvre modérée, fatigue, perte d’odorat, maux de tête","Covid-19"
"maux de tête, frissons, maux de gorge, nez qui coule, courbatures","Grippe"
"amygdales gonflées, fièvre, fièvre élevée, difficulté à avaler","Angine"
"maux de gorge, nez bouché, frissons, nez qui coule, toux","Grippe"
"douleurs abdominales, nausées, nausée","Paludisme"
"vomissements, fièvre légère, crampes abdominales, diarrhée","Gastro-entérite"
"douleurs abdominales, fièvre élevée, nausées, douleurs musculaires, nausée","Paludisme"
"ganglions enflés, fièvre, gorge très douloureuse","Angine"
"maux de ventre, maux d’estomac, nausée","Gastro-entérite"
"diarrhée, perte d’appétit, vomissements","Gastro-entérite"
"fièvre élevée, douleur à la déglutition, ganglions enflés","Angine"
"gorge rouge, difficulté à avaler, douleur à la déglutition, ganglions enflés","Angine"
"maux d’estomac, fatigue, maux de ventre, crampes abdominales","Gastro-entérite"
"éternuements, nez qui coule, maux de tête, toux légère","Rhume"
"nez qui coule, fièvre, toux, maux de gorge","Grippe"
"fièvre légère, maux de ventre, vomissements","Gastro-entérite"
"perte d’appétit, vomissements, diarrhée, nausée","Gastro-entérite"
"gorge très douloureuse, fièvre, gorge rouge, ganglions enflés","Angine"
"gorge rouge, amygdales gonflées, fièvre, fièvre élevée","Angine"
"maux d’estomac, maux de ventre, diarrhée, nausée","Gastro-entérite"
"douleurs abdominales, nausées, transpiration abondante, fièvre élevée, douleurs musculaires","Paludisme"
"fièvre élevée, amygdales gonflées, gorge rouge, difficulté à avaler","Angine"
"difficulté à avaler, amygdales gonflées, fièvre élevée, douleur à la déglutition, gorge très douloureuse","Angine"
"difficultés respiratoires, perte d’odorat, toux sèche","Covid-19"
"nez bouché, fatigue, fièvre, nez qui coule","Grippe"
"nez bouché, maux de tête, maux de gorge","Grippe"
"transpiration abondante, douleurs musculaires, douleurs abdominales, fatigue, fièvre élevée","Paludisme"
"fatigue légère, gorge irritée, toux légère, nez qui coule, maux de gorge","Rhume"
"vomissements, maux d’estomac, perte d’appétit, crampes abdominales","Gastro-entérite"
"fièvre, ganglions enflés, gorge rouge, gorge très douloureuse, fièvre élevée","Angine"
"amygdales gonflées, fièvre élevée, gorge rouge, difficulté à avaler","Angine"
"fièvre élevée, frissons, fatigue, douleurs musculaires","Paludisme"
"frissons, fièvre, fatigue, nez qui coule, maux de gorge","Grippe"
"toux sèche, nez qui coule, frissons, nez bouché, toux","Grippe"
"nausées, fièvre élevée, maux de tête, nausée","Paludisme"
"perte d’odorat, douleurs musculaires, perte du goût","Covid-19"
"gorge irritée, maux de tête, nez bouché, fatigue légère","Rhume"
"fatigue, perte du goût, difficultés respiratoires","Covid-19"
"fatigue, courbatures, fièvre","Grippe"
"difficulté à avaler, ganglions enflés, amygdales gonflées, gorge très douloureuse","Angine"
"fièvre, gorge très douloureuse, difficulté à avaler","Angine"
"perte d’odorat, fièvre modérée, douleurs musculaires","Covid-19"
"perte d’appétit, fatigue, diarrhée, maux d’estomac, maux de ventre","Gastro-entérite"
"maux de gorge, courbatures, nez bouché, frissons, fatigue","Grippe"
"crampes abdominales, perte d’appétit, diarrhée, vomissements","Gastro-entérite"
"maux de tête, fièvre, perte d’odorat, toux sèche, douleurs musculaires","Covid-19"
"nez bouché, fièvre, courbatures, toux sèche","Grippe"
"toux, maux de tête, nez qui coule, fatigue, courbatures","Grippe"
"douleur à la déglutition, difficulté à avaler, fièvre élevée, fièvre","Angine"
"fièvre modérée, toux sèche, douleurs musculaires, difficultés respiratoires, fatigue","Covid-19"
"gorge rouge, douleur à la déglutition, ganglions enflés, fièvre élevée, amygdales gonflées","Angine"
"nausée, frissons, fièvre élevée, transpiration abondante, maux de tête","Paludisme"
"perte d’odorat, fatigue, toux sèche","Covid-19"
"difficulté à avaler, gorge très douloureuse, fièvre élevée, douleur à la déglutition","Angine"
"nez qui coule, maux de tête, toux sèche","Grippe"
"douleur à la déglutition, ganglions enflés, fièvre élevée, gorge très douloureuse","Angine"
"éternuements, maux de tête, gorge irritée, maux de gorge","Rhume"
"nausée, nausées, fatigue, frissons, maux de tête","Paludisme"
"gorge irritée, maux de tête, fatigue légère, éternuements, toux légère","Rhume"
"nez bouché, éternuements, maux de gorge, maux de tête","Rhume"
"gorge rouge, amygdales gonflées, douleur à la déglutition, gorge très douloureuse","Angine"
"maux de gorge, gorge irritée, fatigue légère, toux légère, nez bouché","Rhume"
"maux de ventre, crampes abdominales, perte d’appétit","Gastro-entérite"
"maux de gorge, courbatures, fièvre, fatigue","Grippe"
"frissons, transpiration abondante, fièvre élevée, nausées, fatigue","Paludisme"
"perte d’appétit, fièvre légère, maux d’estomac, vomissements, fatigue","Gastro-entérite"
"nez qui coule, maux de gorge, toux légère, gorge irritée, maux de tête","Rhume"
"maux de tête, fatigue, toux sèche, toux, nez qui coule","Grippe"
"maux de tête, douleurs musculaires, fièvre modérée","Covid-19"
"éternuements, gorge irritée, maux de tête","Rhume"
"douleurs musculaires, douleurs abdominales, fatigue, fièvre élevée, nausée","Paludisme"
"vomissements, fièvre légère, fatigue","Gastro-entérite"
"nez qui coule, frissons, fatigue","Grippe"
"transpiration abondante, nausées, nausée, douleurs abdominales, frissons","Paludisme"
"maux de tête, nez qui coule, maux de gorge","Rhume"
"crampes abdominales, nausée, diarrhée","Gastro-entérite"
"diarrhée, maux de ventre, fièvre légère","Gastro-entérite"
"maux de tête, fatigue, douleurs musculaires, douleurs abdominales, transpiration abondante","Paludisme"
"courbatures, toux sèche, maux de tête","Grippe"
"nez qui coule, fatigue légère, maux de tête","Rhume"
"frissons, maux de tête, fatigue, transpiration abondante, douleurs musculaires","Paludisme"
"fièvre élevée, maux de tête, nausées","Paludisme"
"douleurs abdominales, maux de tête, douleurs musculaires, transpiration abondante","Paludisme"
"fièvre, gorge très douloureuse, amygdales gonflées, gorge rouge","Angine"
"maux de gorge, nez qui coule, nez bouché, toux, toux sèche","Grippe"
"gorge irritée, maux de tête, toux légère, nez bouché","Rhume"
"perte du goût, fatigue, perte d’odorat","Covid-19"
"fatigue, maux de tête, maux de gorge","Grippe"
"fièvre modérée, difficultés respiratoires, perte du goût, fatigue, toux sèche","Covid-19"
"nez bouché, éternuements, fatigue légère","Rhume"
"fièvre élevée, difficulté à avaler, douleur à la déglutition, amygdales gonflées, gorge très douloureuse","Angine"
"courbatures, toux, toux sèche, nez bouché, fatigue","Grippe"
"fatigue légère, maux de gorge, gorge irritée, toux légère, nez bouché","Rhume"
"fatigue, fièvre, difficultés respiratoires, fièvre modérée","Covid-19"
"amygdales gonflées, fièvre élevée, douleur à la déglutition, gorge très douloureuse, difficulté à avaler","Angine"
"fatigue, maux de ventre, perte d’appétit, maux d’estomac, fièvre légère","Gastro-entérite"
"crampes abdominales, perte d’appétit, fatigue, maux d’estomac, fièvre légère","Gastro-entérite"
"nez qui coule, éternuements, gorge irritée, fatigue légère, nez bouché","Rhume"
"crampes abdominales, vomissements, nausée, fatigue","Gastro-entérite"
"fièvre, frissons, toux sèche, maux de tête","Grippe"
"maux de tête, perte d’odorat, fatigue","Covid-19"
"frissons, maux de tête, fièvre élevée","Paludisme"
"maux de ventre, perte d’appétit, fièvre légère, maux d’estomac, fatigue","Gastro-entérite"
"fièvre élevée, douleur à la déglutition, gorge rouge, ganglions enflés, difficulté à avaler","Angine"
"frissons, fatigue, nez bouché, maux de gorge","Grippe"
"toux sèche, maux de gorge, courbatures, nez bouché, frissons","Grippe"
"maux de tête, toux légère, éternuements, nez qui coule","Rhume"
"douleur à la déglutition, gorge rouge, difficulté à avaler, amygdales gonflées","Angine"
"crampes abdominales, perte d’appétit, fièvre légère","Gastro-entérite"
"fatigue, difficultés respiratoires, toux sèche, fièvre modérée, maux de tête","Covid-19"
"diarrhée, maux d’estomac, nausée, fatigue, perte d’appétit","Gastro-entérite"
"fatigue, maux de ventre, vomissements","Gastro-entérite"
"fatigue, nez bouché, fièvre, maux de tête, maux de gorge","Grippe"
"diarrhée, perte d’appétit, maux d’estomac","Gastro-entérite"
"gorge très douloureuse, amygdales gonflées, difficulté à avaler, ganglions enflés","Angine"
"douleur à la déglutition, amygdales gonflées, gorge rouge, gorge très douloureuse","Angine"
"maux de tête, perte du goût, fatigue, fièvre, toux sèche","Covid-19"
"éternuements, gorge irritée, maux de gorge, toux légère","Rhume"
"fatigue, toux sèche, courbatures, nez bouché","Grippe"
"douleurs musculaires, nausée, nausées","Paludisme"
"maux de tête, fièvre élevée, nausées","Paludisme"
"maux de ventre, fatigue, perte d’appétit, fièvre légère, maux d’estomac","Gastro-entérite"
"diarrhée, maux d’estomac, nausée, fatigue","Gastro-entérite"
"gorge très douloureuse, gorge rouge, ganglions enflés, fièvre élevée","Angine"
"maux de gorge, nez qui coule, fatigue légère, gorge irritée","Rhume"
"nausées, transpiration abondante, nausée, douleurs musculaires, maux de tête","Paludisme"
"maux de gorge, fatigue, nez qui coule","Grippe"
"gorge très douloureuse, amygdales gonflées, fièvre élevée","Angine"
"gorge très douloureuse, fièvre, fièvre élevée","Angine"
"fatigue, transpiration abondante, nausée, frissons, nausées","Paludisme"
"fièvre, courbatures, maux de gorge, toux sèche, toux","Grippe"
"toux sèche, maux de tête, perte d’odorat","Covid-19"
"toux, fièvre, maux de gorge","Grippe"
"crampes abdominales, maux de ventre, nausée, maux d’estomac, perte d’appétit","Gastro-entérite"
"frissons, fatigue, toux","Grippe"
"toux sèche, difficultés respiratoires, fièvre, douleurs musculaires","Covid-19"
"fatigue, douleurs musculaires, nausées, nausée","Paludisme"
"nausée, fièvre légère, vomissements","Gastro-entérite"
"fatigue, difficultés respiratoires, perte d’odorat, fièvre, toux sèche","Covid-19"
"fièvre élevée, difficulté à avaler, douleur à la déglutition","Angine"
"fatigue légère, nez bouché, toux légère, maux de gorge, éternuements","Rhume"
"frissons, fièvre élevée, transpiration abondante, maux de tête","Paludisme"
"fièvre, difficultés respiratoires, fièvre modérée, douleurs musculaires, perte d’odorat","Covid-19"
"frissons, nez bouché, fatigue, maux de tête","Grippe"
"maux de tête, douleurs musculaires, fatigue","Covid-19"
"toux sèche, difficultés respiratoires, maux de tête, fièvre","Covid-19"
"perte d’appétit, maux de ventre, fatigue","Gastro-entérite"
"maux de tête, nez bouché, éternuements, fatigue légère, maux de gorge","Rhume"
"ganglions enflés, fièvre élevée, fièvre, douleur à la déglutition","Angine"
"maux de gorge, nez bouché, gorge irritée, maux de tête, fatigue légère","Rhume"
"perte d’odorat, fièvre, fatigue","Covid-19"
"fièvre, difficulté à avaler, fièvre élevée, gorge très douloureuse","Angine"
"toux, fatigue, nez qui coule, maux de gorge","Grippe"
"maux de tête, nez qui coule, toux légère","Rhume"
"fatigue, douleurs musculaires, douleurs abdominales, maux de tête, nausées","Paludisme"
"fatigue, nausée, vomissements, diarrhée, perte d’appétit","Gastro-entérite"
"gorge irritée, maux de tête, éternuements, maux de gorge, toux légère","Rhume"
"éternuements, toux légère, nez bouché","Rhume"
"douleurs musculaires, maux de tête, douleurs abdominales, nausée, fièvre élevée","Paludisme"
"transpiration abondante, douleurs musculaires, nausée","Paludisme"
"maux de tête, douleurs musculaires, transpiration abondante, frissons, fatigue","Paludisme"
"fièvre élevée, douleur à la déglutition, fièvre","Angine"
"fièvre légère, maux d’estomac, fatigue, maux de ventre","Gastro-entérite"
"diarrhée, nausée, crampes abdominales, maux d’estomac, maux de ventre","Gastro-entérite"
"gorge rouge, difficulté à avaler, amygdales gonflées","Angine"
"fièvre élevée, ganglions enflés, gorge rouge, douleur à la déglutition, gorge très douloureuse","Angine"
"éternuements, fatigue légère, maux de tête, toux légère, maux de gorge","Rhume"
"fatigue, toux sèche, difficultés respiratoires","Covid-19"
"fièvre élevée, douleur à la déglutition, gorge très douloureuse, difficulté à avaler","Angine"
"toux sèche, fièvre, perte d’odorat, fatigue, maux de tête","Covid-19"
"fatigue, fièvre modérée, toux sèche, perte du goût","Covid-19"
"éternuements, maux de gorge, fatigue légère, toux légère","Rhume"
"fièvre modérée, perte d’odorat, toux sèche","Covid-19"
"douleurs musculaires, toux sèche, perte du goût, maux de tête","Covid-19"
"douleurs musculaires, perte du goût, perte d’odorat, maux de tête","Covid-19"
"douleurs musculaires, fièvre modérée, fièvre, perte d’odorat","Covid-19"
"maux de gorge, toux légère, fatigue légère","Rhume"
"fatigue, fièvre élevée, frissons, nausée","Paludisme"
"douleurs musculaires, nausées, maux de tête","Paludisme"
"difficultés respiratoires, douleurs musculaires, perte du goût","Covid-19"
"vomissements, maux d’estomac, perte d’appétit, diarrhée","Gastro-entérite"
"perte d’appétit, maux d’estomac, nausée, vomissements","Gastro-entérite"
"toux, frissons, fièvre, maux de tête, nez qui coule","Grippe"
"maux d’estomac, vomissements, fièvre légère","Gastro-entérite"
"nez bouché, éternuements, fatigue légère","Rhume"
"fièvre, nez qui coule, fatigue, frissons, nez bouché","Grippe"
"toux légère, maux de gorge, maux de tête","Rhume"
"diarrhée, vomissements, crampes abdominales","Gastro-entérite"
"douleurs musculaires, fatigue, nausée, douleurs abdominales","Paludisme"
"douleurs musculaires, transpiration abondante, douleurs abdominales, maux de tête","Paludisme"
"maux de ventre, perte d’appétit, maux d’estomac","Gastro-entérite"
"fièvre, difficulté à avaler, gorge rouge","Angine"
"nez bouché, maux de gorge, éternuements, nez qui coule","Rhume"
"fièvre, courbatures, maux de gorge","Grippe"
"perte d’appétit, vomissements, diarrhée","Gastro-entérite"
"fatigue, toux, maux de tête","Grippe"
"amygdales gonflées, fièvre, gorge rouge, difficulté à avaler, fièvre élevée","Angine"
"frissons, douleurs abdominales, nausée","Paludisme"
"éternuements, fatigue légère, toux légère, gorge irritée, maux de tête","Rhume"
"fatigue, maux de tête, difficultés respiratoires, fièvre, douleurs musculaires","Covid-19"
"nez qui coule, fatigue légère, nez bouché, éternuements","Rhume"
"maux de gorge, fièvre, frissons, nez qui coule","Grippe"
"crampes abdominales, maux de ventre, diarrhée, vomissements, perte d’appétit","Gastro-entérite"
"frissons, fatigue, douleurs musculaires","Paludisme"
"maux de ventre, fièvre légère, crampes abdominales, diarrhée, nausée","Gastro-entérite"
"fatigue légère, toux légère, nez bouché","Rhume"
"fièvre élevée, gorge rouge, douleur à la déglutition, difficulté à avaler, amygdales gonflées","Angine"
"fatigue, frissons, maux de tête","Grippe"
"maux de tête, frissons, douleurs musculaires, fièvre élevée, nausées","Paludisme"
"maux de gorge, nez qui coule, toux légère, maux de tête, gorge irritée","Rhume"
"fièvre modérée, douleurs musculaires, fièvre, difficultés respiratoires","Covid-19"
"gorge rouge, fièvre élevée, difficulté à avaler, gorge très douloureuse, fièvre","Angine"
"maux de tête, nez bouché, nez qui coule, gorge irritée","Rhume"
"fièvre, perte du goût, toux sèche, maux de tête","Covid-19"
"frissons, maux de gorge, nez bouché","Grippe"
"fièvre modérée, perte d’odorat, fièvre, douleurs musculaires","Covid-19"
"fièvre, perte du goût, fièvre modérée, fatigue, toux sèche","Covid-19"
"ganglions enflés, gorge rouge, amygdales gonflées","Angine"
"fièvre modérée, fièvre, difficultés respiratoires, perte d’odorat","Covid-19"
"maux de tête, nez qui coule, fatigue","Grippe"
"maux de tête, nez qui coule, nez bouché, fatigue légère","Rhume"
"amygdales gonflées, douleur à la déglutition, fièvre élevée","Angine"
"perte d’appétit, vomissements, crampes abdominales, maux d’estomac, fatigue","Gastro-entérite"
"crampes abdominales, maux d’estomac, diarrhée, vomissements","Gastro-entérite"
"éternuements, toux légère, gorge irritée","Rhume"
"fatigue, perte du goût, maux de tête, fièvre modérée","Covid-19"
"frissons, douleurs abdominales, douleurs musculaires, maux de tête","Paludisme"
"gorge très douloureuse, douleur à la déglutition, fièvre, difficulté à avaler, amygdales gonflées","Angine"
"toux, maux de tête, nez bouché, toux sèche, courbatures","Grippe"
"fatigue, nausée, frissons","Paludisme"
"toux légère, éternuements, maux de tête","Rhume"
"fatigue, nausée, frissons, nausées","Paludisme"
"perte d’appétit, maux de ventre, maux d’estomac","Gastro-entérite"
"éternuements, maux de gorge, maux de tête, toux légère","Rhume"
"douleur à la déglutition, gorge très douloureuse, amygdales gonflées, fièvre","Angine"
"fièvre légère, maux d’estomac, diarrhée, vomissements, crampes abdominales","Gastro-entérite"
"fièvre modérée, maux de tête, difficultés respiratoires","Covid-19"
"transpiration abondante, nausées, douleurs musculaires, fatigue","Paludisme"
"maux d’estomac, fièvre légère, nausée, vomissements, perte d’appétit","Gastro-entérite"
"fièvre, maux de gorge, maux de tête","Grippe"
"maux de tête, courbatures, toux sèche, fatigue","Grippe"
"éternuements, nez bouché, gorge irritée, toux légère","Rhume"
"maux de tête, douleurs musculaires, perte d’odorat, toux sèche","Covid-19"
"perte d’appétit, nausée, maux d’estomac","Gastro-entérite"
"gorge très douloureuse, ganglions enflés, difficulté à avaler, fièvre élevée, fièvre","Angine"
"amygdales gonflées, gorge très douloureuse, gorge rouge, fièvre élevée","Angine"
"diarrhée, nausée, crampes abdominales, perte d’appétit, fatigue","Gastro-entérite"
"difficulté à avaler, douleur à la déglutition, amygdales gonflées, gorge rouge, gorge très douloureuse","Angine"
"fatigue, nausée, maux de tête, douleurs abdominales","Paludisme"
"nez qui coule, maux de tête, gorge irritée, nez bouché","Rhume"
"transpiration abondante, fatigue, fièvre élevée, maux de tête, douleurs abdominales","Paludisme"
"éternuements, nez bouché, toux légère, nez qui coule","Rhume"
"transpiration abondante, nausée, frissons, nausées, fièvre élevée","Paludisme"
"gorge très douloureuse, fièvre, douleur à la déglutition, gorge rouge","Angine"
"diarrhée, fatigue, fièvre légère, vomissements, maux de ventre","Gastro-entérite"
"maux de ventre, fièvre légère, fatigue","Gastro-entérite"
"douleurs abdominales, frissons, fatigue, transpiration abondante","Paludisme"
"maux d’estomac, nausée, fatigue, maux de ventre, perte d’appétit","Gastro-entérite"
